operator,format,index_dtype,value_dtype,op,route,status
spsv,CSR,int64,complex128,non,triton,SUPPORTED
spsv,CSR,int64,complex128,trans,triton,SUPPORTED
spsv,SELL,int32,float32,non,triton,SUPPORTED
spsv,SELL,int32,float32,trans,triton,SUPPORTED
spsv,SELL,int32,float32,conj,triton,SUPPORTED
spsv,SELL,int32,float64,non,triton,SUPPORTED
spsv,SELL,int32,float64,trans,triton,SUPPORTED
spsv,SELL,int32,float64,conj,triton,SUPPORTED
spsv,SELL,int32,complex64,non,triton,SUPPORTED
spsv,SELL,int32,complex64,trans,triton,SUPPORTED
spsv,SELL,int32,complex64,conj,triton,SUPPORTED
spsv,SELL,int32,complex128,non,triton,SUPPORTED
spsv,SELL,int32,complex128,trans,triton,SUPPORTED
spsv,SELL,int32,complex128,conj,triton,SUPPORTED
spsv,SELL,int64,float32,non,triton,SUPPORTED
spsv,SELL,int64,float32,trans,triton,SUPPORTED
spsv,SELL,int64,float32,conj,triton,SUPPORTED
spsv,SELL,int64,float64,non,triton,SUPPORTED
spsv,SELL,int64,float64,trans,triton,SUPPORTED
spsv,SELL,int64,float64,conj,triton,SUPPORTED
spsv,SELL,int64,complex64,non,triton,SUPPORTED
spsv,SELL,int64,complex64,trans,triton,SUPPORTED
spsv,SELL,int64,complex64,conj,triton,SUPPORTED
spsv,SELL,int64,complex128,non,triton,SUPPORTED
spsv,SELL,int64,complex128,trans,triton,SUPPORTED
spsv,SELL,int64,complex128,conj,triton,SUPPORTED
